"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.712890565E2	5.028024671E1	7.570767459E0	2.949188375E2	2.007999992E1	2.612000122E2	2.000000000E0	1.000000000E2
1.722848394E2	5.028024708E1	7.570489598E0	2.959188643E2	1.911999893E1	2.732000122E2	2.000000000E0	1.000000000E2
1.732588161E2	5.028032043E1	7.570218025E0	2.959189556E2	2.117000008E1	2.921000061E2	2.500000000E0	1.000000000E2
1.742541116E2	5.028044817E1	7.569956426E0	2.969190946E2	2.405999947E1	3.090000000E2	2.500000000E0	1.000000000E2
1.752619547E2	5.028061610E1	7.569686864E0	2.979192703E2	2.818000031E1	3.147000122E2	2.500000000E0	1.000000000E2
1.762858046E2	5.028078784E1	7.569382684E0	2.979194526E2	2.853999901E1	3.086000061E2	2.000000000E0	1.000000000E2
1.772822695E2	5.028093331E1	7.569024693E0	2.979196167E2	3.010999870E1	2.992000122E2	2.500000000E0	1.000000000E2
1.782821636E2	5.028104605E1	7.568628062E0	2.979197553E2	3.018999863E1	2.925000000E2	2.500000000E0	1.000000000E2
1.792919190E2	5.028112995E1	7.568229502E0	2.989198683E2	3.003999901E1	2.863999939E2	2.000000000E0	1.000000000E2
1.802528629E2	5.028117982E1	7.567807054E0	2.989199533E2	3.076000023E1	2.786000061E2	2.000000000E0	1.000000000E2
1.812478150E2	5.028119269E1	7.567396509E0	2.989200040E2	2.807999992E1	2.707999878E2	2.000000000E0	1.000000000E2
1.822371500E2	5.028117404E1	7.567035668E0	2.989200218E2	2.494999886E1	2.607000122E2	2.000000000E0	1.000000000E2
1.832884978E2	5.028111478E1	7.566705588E0	2.989200004E2	2.501999855E1	2.508000031E2	2.000000000E0	1.000000000E2
1.842679801E2	5.028099404E1	7.566381628E0	2.989199235E2	2.848999977E1	2.370000000E2	2.500000000E0	1.000000000E2
1.852555674E2	5.028082443E1	7.566033527E0	2.999198052E2	3.155999947E1	2.340000000E2	2.000000000E0	1.000000000E2
1.862450229E2	5.028064610E1	7.565665981E0	3.009196809E2	3.377000046E1	2.350000000E2	2.000000000E0	1.000000000E2
1.872294370E2	5.028046300E1	7.565270774E0	3.019195549E2	3.536999893E1	2.346999969E2	2.000000000E0	1.000000000E2
1.882366147E2	5.028027055E1	7.564855199E0	3.029194225E2	3.757999802E1	2.343000031E2	1.500000000E0	1.000000000E2
1.892782824E2	5.028006184E1	7.564431326E0	3.039192763E2	3.912999725E1	2.313000031E2	2.000000000E0	1.000000000E2
1.902625102E2	5.027982397E1	7.564012399E0	3.059191035E2	4.088999939E1	2.278999939E2	1.500000000E0	1.000000000E2
1.912784878E2	5.027957406E1	7.563584251E0	3.079189207E2	4.240999985E1	2.281000061E2	1.500000000E0	1.000000000E2
1.922763527E2	5.027931028E1	7.563140681E0	3.099187270E2	4.352000046E1	2.283000031E2	1.500000000E0	1.000000000E2
1.932521308E2	5.027904265E1	7.562689316E0	3.129185304E2	4.359000015E1	2.283999939E2	1.500000000E0	1.000000000E2
1.942724456E2	5.027878293E1	7.562226634E0	3.139183420E2	4.352999878E1	2.288000031E2	1.500000000E0	1.000000000E2
1.952769229E2	5.027853705E1	7.561793039E0	3.149181631E2	3.915999985E1	2.296999969E2	2.000000000E0	1.000000000E2
1.962810608E2	5.027831493E1	7.561392803E0	3.159180023E2	3.631999969E1	2.303999939E2	2.000000000E0	1.000000000E2
1.972727829E2	5.027811381E1	7.561004637E0	3.159178590E2	3.431999969E1	2.318000031E2	1.500000000E0	1.000000000E2
1.982887321E2	5.027792878E1	7.560629295E0	3.169177289E2	3.213999939E1	2.340000000E2	1.500000000E0	1.000000000E2
1.992696574E2	5.027776994E1	7.560266694E0	3.169176211E2	3.086999893E1	2.356999969E2	1.500000000E0	1.000000000E2
2.002731287E2	5.027762325E1	7.559917588E0	3.159175228E2	2.903999901E1	2.363999939E2	1.500000000E0	1.000000000E2
2.012798812E2	5.027748965E1	7.559582060E0	3.149174349E2	2.772999954E1	2.373999939E2	1.500000000E0	1.000000000E2
2.022810207E2	5.027737079E1	7.559239408E0	3.149173608E2	2.898999977E1	2.440000000E2	2.000000000E0	1.000000000E2
2.032365227E2	5.027727264E1	7.558839675E0	3.139173107E2	3.178999901E1	2.513999939E2	2.000000000E0	1.000000000E2
2.042918254E2	5.027719037E1	7.558407588E0	3.139172778E2	3.268999863E1	2.548999939E2	2.000000000E0	1.000000000E2
2.052884508E2	5.027712315E1	7.557982123E0	3.129172578E2	2.979999924E1	2.563999939E2	2.000000000E0	1.000000000E2
2.062871870E2	5.027706950E1	7.557592783E0	3.129172465E2	2.771999931E1	2.590000000E2	2.000000000E0	1.000000000E2
2.072811914E2	5.027704645E1	7.557213251E0	3.139172617E2	2.659000015E1	2.687999878E2	2.000000000E0	1.000000000E2
2.082820625E2	5.027706158E1	7.556848554E0	3.149173097E2	2.590999985E1	2.808999939E2	2.000000000E0	1.000000000E2
2.092752205E2	5.027711255E1	7.556520486E0	3.159173864E2	2.225000000E1	2.887000122E2	2.000000000E0	1.000000000E2
2.102889486E2	5.027716728E1	7.556274980E0	3.169174587E2	1.529999924E1	2.893999939E2	2.500000000E0	1.000000000E2
2.112875693E2	5.027720948E1	7.556054955E0	3.179175173E2	1.610999870E1	2.887000122E2	2.000000000E0	1.000000000E2
2.122718502E2	5.027725609E1	7.555813808E0	3.189175819E2	1.797999954E1	2.880000000E2	2.000000000E0	1.000000000E2
2.132741400E2	5.027730688E1	7.555568889E0	3.189176506E2	1.805999947E1	2.870000000E2	1.500000000E0	1.000000000E2
2.142556681E2	5.027734703E1	7.555330340E0	3.199177091E2	1.677000046E1	2.810000000E2	1.500000000E0	1.000000000E2
2.152582143E2	5.027736991E1	7.555100676E0	3.209177514E2	1.550999928E1	2.747999878E2	1.500000000E0	1.000000000E2
2.162700039E2	5.027737787E1	7.554889116E0	3.209177785E2	1.434999943E1	2.705000000E2	1.500000000E0	1.000000000E2
2.172824108E2	5.027737926E1	7.554692309E0	3.209177984E2	1.353999996E1	2.716000061E2	1.500000000E0	1.000000000E2
2.182492870E2	5.027738550E1	7.554508913E0	3.219178213E2	1.313999939E1	2.741000061E2	1.500000000E0	1.000000000E2
2.192718495E2	5.027739376E1	7.554320153E0	3.219178466E2	1.342000008E1	2.752000122E2	1.500000000E0	1.000000000E2
2.202741014E2	5.027740633E1	7.554126028E0	3.219178762E2	1.367999935E1	2.787999878E2	1.000000000E0	1.000000000E2
