"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.166414937E2	5.030857884E1	7.611277867E0	9.693994361E1	1.329999924E1	1.889999962E1	1.000000000E0	1.000000000E2
1.176337195E2	5.030868973E1	7.611340731E0	9.594003485E1	1.323999977E1	1.879999924E1	1.000000000E0	1.000000000E2
1.186354374E2	5.030879844E1	7.611399237E0	9.594012462E1	1.300000000E1	1.900000000E1	1.000000000E0	1.000000000E2
1.196119094E2	5.030890703E1	7.611456234E0	9.594021443E1	1.315999985E1	1.929999924E1	1.000000000E0	1.000000000E2
1.206160831E2	5.030901642E1	7.611520272E0	9.594030421E1	1.342999935E1	1.970000076E1	1.000000000E0	1.000000000E2
1.216296465E2	5.030912672E1	7.611582633E0	9.594039497E1	1.359000015E1	1.900000000E1	1.000000000E0	1.000000000E2
1.226366223E2	5.030924088E1	7.611647341E0	9.594048888E1	1.354999924E1	1.900000000E1	1.000000000E0	1.000000000E2
1.236337563E2	5.030935236E1	7.611712804E0	9.594058035E1	1.347999954E1	2.000000000E1	1.000000000E0	1.000000000E2
1.246360765E2	5.030946711E1	7.611776926E0	9.594067483E1	1.348999977E1	2.060000038E1	1.000000000E0	1.000000000E2
1.256419172E2	5.030958333E1	7.611846244E0	9.594077006E1	1.353999996E1	1.920000076E1	1.000000000E0	1.000000000E2
1.266296126E2	5.030970130E1	7.611906761E0	9.594086775E1	1.367999935E1	1.610000038E1	1.000000000E0	1.000000000E2
1.276114085E2	5.030981995E1	7.611956801E0	9.594096711E1	1.390999985E1	1.180000019E1	1.000000000E0	1.000000000E2
1.286155309E2	5.030994081E1	7.611988233E0	9.594107035E1	1.382999992E1	7.500000000E0	1.000000000E0	1.000000000E2
1.296106907E2	5.031006805E1	7.612005919E0	9.594118063E1	1.384000015E1	2.299999952E0	1.000000000E0	1.000000000E2
1.306253163E2	5.031019717E1	7.611995861E0	9.594129544E1	1.384000015E1	3.567999878E2	1.500000000E0	1.000000000E2
1.316280713E2	5.031032529E1	7.611970548E0	9.594141094E1	1.397999954E1	3.493999939E2	1.500000000E0	1.000000000E2
1.326337789E2	5.031044784E1	7.611925369E0	9.694152360E1	1.246000004E1	3.442999878E2	1.500000000E0	1.000000000E2
1.336152222E2	5.031055424E1	7.611834090E0	9.594162682E1	1.361999989E1	3.227000122E2	1.500000000E0	1.000000000E2
1.346154824E2	5.031065080E1	7.611718839E0	9.594172386E1	1.346000004E1	3.232999878E2	1.500000000E0	1.000000000E2
1.356375111E2	5.031075486E1	7.611614401E0	9.594182640E1	1.396000004E1	3.277000122E2	1.500000000E0	1.000000000E2
1.366268213E2	5.031086119E1	7.611495042E0	9.594193248E1	1.444999981E1	3.197999878E2	1.500000000E0	1.000000000E2
1.376163328E2	5.031095934E1	7.611348946E0	9.594203414E1	1.472999954E1	3.108999939E2	1.500000000E0	1.000000000E2
